participant_id,random_id,repeat_false_alarm_rate,repeat_hit_rate,trial_index,trial_number,time_elapsed,trial_phase,trial_kind,response,rt,confidence_response,correct,is_right,choice_images,correct_image,choice,experiment_purpose,Q1,technical_issues
manatee,p3duj2aujg2,0,0.9,369,11,1406860,Test,state,1,1619,5,true,1,"[""stimuli\\STATE\\USED\\Snapkins1.jpg"",""stimuli\\STATE\\USED\\Snapkins2.jpg""]",stimuli\STATE\USED\Snapkins2.jpg,stimuli\STATE\USED\Snapkins2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,371,12,1414776,Test,state,1,6636,2,true,1,"[""stimuli\\STATE\\USED\\Sdishes2.JPG"",""stimuli\\STATE\\USED\\Sdishes1.JPG""]",stimuli\STATE\USED\Sdishes1.JPG,stimuli\STATE\USED\Sdishes1.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,373,13,1419485,Test,state,0,1390,5,false,0,"[""stimuli\\STATE\\USED\\Sbook2.JPG"",""stimuli\\STATE\\USED\\Sbook1.JPG""]",stimuli\STATE\USED\Sbook1.JPG,stimuli\STATE\USED\Sbook2.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,375,14,1421806,Test,exemplar,1,858,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ecalculator2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ecalculator1.jpg""]",stimuli\EXEMPLAR\USED\Ecalculator1.jpg,stimuli\EXEMPLAR\USED\Ecalculator1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,377,15,1426403,Test,state,1,3319,4,true,1,"[""stimuli\\STATE\\USED\\Sdie2.jpg"",""stimuli\\STATE\\USED\\Sdie1.jpg""]",stimuli\STATE\USED\Sdie1.jpg,stimuli\STATE\USED\Sdie1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,379,16,1431038,Test,exemplar,0,1289,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ecamera1.jpg"",""stimuli\\EXEMPLAR\\USED\\Ecamera2.jpg""]",stimuli\EXEMPLAR\USED\Ecamera1.jpg,stimuli\EXEMPLAR\USED\Ecamera1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,381,17,1433734,Test,state,1,1442,5,true,1,"[""stimuli\\STATE\\USED\\Sscissors1.JPG"",""stimuli\\STATE\\USED\\Sscissors2.JPG""]",stimuli\STATE\USED\Sscissors2.JPG,stimuli\STATE\USED\Sscissors2.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,383,18,1436474,Test,state,0,1493,5,true,1,"[""stimuli\\STATE\\USED\\Sphone2.JPG"",""stimuli\\STATE\\USED\\Sphone1.JPG""]",stimuli\STATE\USED\Sphone2.JPG,stimuli\STATE\USED\Sphone2.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,385,19,1438705,Test,state,0,1049,5,true,1,"[""stimuli\\STATE\\USED\\Sboxwhite1.jpg"",""stimuli\\STATE\\USED\\Sboxwhite2.jpg""]",stimuli\STATE\USED\Sboxwhite1.jpg,stimuli\STATE\USED\Sboxwhite1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,387,20,1440868,Test,exemplar,0,1056,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Epliers2.jpg"",""stimuli\\EXEMPLAR\\USED\\Epliers1.jpg""]",stimuli\EXEMPLAR\USED\Epliers2.jpg,stimuli\EXEMPLAR\USED\Epliers2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,389,21,1445093,Test,state,1,2094,5,true,1,"[""stimuli\\STATE\\USED\\Shandmirror2.jpg"",""stimuli\\STATE\\USED\\Shandmirror1.jpg""]",stimuli\STATE\USED\Shandmirror1.jpg,stimuli\STATE\USED\Shandmirror1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,391,22,1447709,Test,exemplar,0,918,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eguitar2.jpg"",""stimuli\\EXEMPLAR\\USED\\Eguitar1.jpg""]",stimuli\EXEMPLAR\USED\Eguitar2.jpg,stimuli\EXEMPLAR\USED\Eguitar2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,393,23,1452986,Test,exemplar,0,3947,2,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eframe1.jpg"",""stimuli\\EXEMPLAR\\USED\\Eframe2.jpg""]",stimuli\EXEMPLAR\USED\Eframe1.jpg,stimuli\EXEMPLAR\USED\Eframe1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,395,24,1455524,Test,exemplar,0,1096,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Epeppers2.jpg"",""stimuli\\EXEMPLAR\\USED\\Epeppers1.jpg""]",stimuli\EXEMPLAR\USED\Epeppers2.jpg,stimuli\EXEMPLAR\USED\Epeppers2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,397,25,1458064,Test,exemplar,1,1236,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Emoney2.jpg"",""stimuli\\EXEMPLAR\\USED\\Emoney1.jpg""]",stimuli\EXEMPLAR\USED\Emoney1.jpg,stimuli\EXEMPLAR\USED\Emoney1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,399,26,1464073,Test,state,0,2662,3,true,1,"[""stimuli\\STATE\\USED\\Spatiotable2.jpg"",""stimuli\\STATE\\USED\\Spatiotable1.jpg""]",stimuli\STATE\USED\Spatiotable2.jpg,stimuli\STATE\USED\Spatiotable2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,401,27,1466730,Test,exemplar,1,927,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eremover1.jpg"",""stimuli\\EXEMPLAR\\USED\\Eremover2.jpg""]",stimuli\EXEMPLAR\USED\Eremover2.jpg,stimuli\EXEMPLAR\USED\Eremover2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,403,28,1472157,Test,exemplar,0,4156,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Epiano2.jpg"",""stimuli\\EXEMPLAR\\USED\\Epiano1.jpg""]",stimuli\EXEMPLAR\USED\Epiano2.jpg,stimuli\EXEMPLAR\USED\Epiano2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,405,29,1474733,Test,state,1,1367,1,false,0,"[""stimuli\\STATE\\USED\\Spestle1.jpg"",""stimuli\\STATE\\USED\\Spestle2.jpg""]",stimuli\STATE\USED\Spestle1.jpg,stimuli\STATE\USED\Spestle2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,407,30,1481647,Test,state,1,3677,1,false,0,"[""stimuli\\STATE\\USED\\Sdryer1.jpg"",""stimuli\\STATE\\USED\\Sdryer2.jpg""]",stimuli\STATE\USED\Sdryer1.jpg,stimuli\STATE\USED\Sdryer2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,409,31,1484603,Test,exemplar,1,1434,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Elei1.jpg"",""stimuli\\EXEMPLAR\\USED\\Elei2.jpg""]",stimuli\EXEMPLAR\USED\Elei2.jpg,stimuli\EXEMPLAR\USED\Elei2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,411,32,1487631,Test,state,1,1207,5,false,0,"[""stimuli\\STATE\\USED\\Schinesefoodbox2.jpg"",""stimuli\\STATE\\USED\\Schinesefoodbox1.jpg""]",stimuli\STATE\USED\Schinesefoodbox2.jpg,stimuli\STATE\USED\Schinesefoodbox1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,413,33,1490812,Test,exemplar,1,1346,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ekayak2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ekayak1.jpg""]",stimuli\EXEMPLAR\USED\Ekayak1.jpg,stimuli\EXEMPLAR\USED\Ekayak1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,415,34,1492768,Test,state,1,784,5,true,1,"[""stimuli\\STATE\\USED\\Sschoolbag1.JPG"",""stimuli\\STATE\\USED\\Sschoolbag2.JPG""]",stimuli\STATE\USED\Sschoolbag2.JPG,stimuli\STATE\USED\Sschoolbag2.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,417,35,1495624,Test,exemplar,1,1667,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Esunglasses1.jpg"",""stimuli\\EXEMPLAR\\USED\\Esunglasses2.jpg""]",stimuli\EXEMPLAR\USED\Esunglasses2.jpg,stimuli\EXEMPLAR\USED\Esunglasses2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,419,36,1499223,Test,exemplar,0,2407,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eglobe2.jpg"",""stimuli\\EXEMPLAR\\USED\\Eglobe1.jpg""]",stimuli\EXEMPLAR\USED\Eglobe2.jpg,stimuli\EXEMPLAR\USED\Eglobe2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,421,37,1501185,Test,state,0,874,5,true,1,"[""stimuli\\STATE\\USED\\Spolarbear2.jpg"",""stimuli\\STATE\\USED\\Spolarbear1.jpg""]",stimuli\STATE\USED\Spolarbear2.jpg,stimuli\STATE\USED\Spolarbear2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,423,38,1503810,Test,exemplar,0,1272,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Echopsticks1.jpg"",""stimuli\\EXEMPLAR\\USED\\Echopsticks2.jpg""]",stimuli\EXEMPLAR\USED\Echopsticks1.jpg,stimuli\EXEMPLAR\USED\Echopsticks1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,425,39,1507353,Test,state,1,1469,4,true,1,"[""stimuli\\STATE\\USED\\Sbooks2.JPG"",""stimuli\\STATE\\USED\\Sbooks1.JPG""]",stimuli\STATE\USED\Sbooks1.JPG,stimuli\STATE\USED\Sbooks1.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,427,40,1513603,Test,exemplar,0,1861,4,false,0,"[""stimuli\\EXEMPLAR\\USED\\Emicroscope2.jpg"",""stimuli\\EXEMPLAR\\USED\\Emicroscope1.jpg""]",stimuli\EXEMPLAR\USED\Emicroscope1.jpg,stimuli\EXEMPLAR\USED\Emicroscope2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,429,41,1516516,Test,exemplar,0,1707,2,false,0,"[""stimuli\\EXEMPLAR\\USED\\Etoyplane2.jpg"",""stimuli\\EXEMPLAR\\USED\\Etoyplane1.jpg""]",stimuli\EXEMPLAR\USED\Etoyplane1.jpg,stimuli\EXEMPLAR\USED\Etoyplane2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,431,42,1519141,Test,exemplar,1,886,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eswimsuit1.jpg"",""stimuli\\EXEMPLAR\\USED\\Eswimsuit2.jpg""]",stimuli\EXEMPLAR\USED\Eswimsuit2.jpg,stimuli\EXEMPLAR\USED\Eswimsuit2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,433,43,1521158,Test,state,1,991,5,true,1,"[""stimuli\\STATE\\USED\\Seggplant2.jpg"",""stimuli\\STATE\\USED\\Seggplant1.jpg""]",stimuli\STATE\USED\Seggplant1.jpg,stimuli\STATE\USED\Seggplant1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,435,44,1523795,Test,state,1,1623,5,false,0,"[""stimuli\\STATE\\USED\\Speppers2.jpg"",""stimuli\\STATE\\USED\\Speppers1.jpg""]",stimuli\STATE\USED\Speppers2.jpg,stimuli\STATE\USED\Speppers1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,437,45,1528007,Test,state,0,2810,4,true,1,"[""stimuli\\STATE\\USED\\Scateringtray1.jpg"",""stimuli\\STATE\\USED\\Scateringtray2.jpg""]",stimuli\STATE\USED\Scateringtray1.jpg,stimuli\STATE\USED\Scateringtray1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,439,46,1531290,Test,exemplar,0,980,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Elog1.jpg"",""stimuli\\EXEMPLAR\\USED\\Elog2.jpg""]",stimuli\EXEMPLAR\USED\Elog1.jpg,stimuli\EXEMPLAR\USED\Elog1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,441,47,1534317,Test,state,1,1143,5,true,1,"[""stimuli\\STATE\\USED\\Sstoplight2.jpg"",""stimuli\\STATE\\USED\\Sstoplight1.jpg""]",stimuli\STATE\USED\Sstoplight1.jpg,stimuli\STATE\USED\Sstoplight1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,443,48,1537190,Test,exemplar,1,1108,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Emuffler2.jpg"",""stimuli\\EXEMPLAR\\USED\\Emuffler1.jpg""]",stimuli\EXEMPLAR\USED\Emuffler1.jpg,stimuli\EXEMPLAR\USED\Emuffler1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,445,49,1540130,Test,exemplar,0,1668,4,true,1,"[""stimuli\\EXEMPLAR\\USED\\Etrowel2.jpg"",""stimuli\\EXEMPLAR\\USED\\Etrowel1.jpg""]",stimuli\EXEMPLAR\USED\Etrowel2.jpg,stimuli\EXEMPLAR\USED\Etrowel2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,447,50,1545154,Test,exemplar,1,3706,1,false,0,"[""stimuli\\EXEMPLAR\\USED\\Eplate1.jpg"",""stimuli\\EXEMPLAR\\USED\\Eplate2.jpg""]",stimuli\EXEMPLAR\USED\Eplate1.jpg,stimuli\EXEMPLAR\USED\Eplate2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
camel,p3zegmnxubt,0.00666666666666671,0.9,349,1,468902,Test,state,1,1469,5,true,1,"[""stimuli\\STATE\\USED\\Sstoplight1.jpg"",""stimuli\\STATE\\USED\\Sstoplight2.jpg""]",stimuli\STATE\USED\Sstoplight2.jpg,stimuli\STATE\USED\Sstoplight2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,351,2,474100,Test,state,1,1775,5,true,1,"[""stimuli\\STATE\\USED\\Slaptop2.JPG"",""stimuli\\STATE\\USED\\Slaptop1.JPG""]",stimuli\STATE\USED\Slaptop1.JPG,stimuli\STATE\USED\Slaptop1.JPG,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,353,3,476723,Test,state,1,804,5,true,1,"[""stimuli\\STATE\\USED\\Sredcabbage1.jpg"",""stimuli\\STATE\\USED\\Sredcabbage2.jpg""]",stimuli\STATE\USED\Sredcabbage2.jpg,stimuli\STATE\USED\Sredcabbage2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,355,4,482429,Test,exemplar,0,4041,2,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eremote2.jpg"",""stimuli\\EXEMPLAR\\USED\\Eremote1.jpg""]",stimuli\EXEMPLAR\USED\Eremote2.jpg,stimuli\EXEMPLAR\USED\Eremote2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,357,5,488447,Test,state,1,3955,1,true,1,"[""stimuli\\STATE\\USED\\Shairbrush1.jpg"",""stimuli\\STATE\\USED\\Shairbrush2.jpg""]",stimuli\STATE\USED\Shairbrush2.jpg,stimuli\STATE\USED\Shairbrush2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,359,6,491658,Test,state,1,1302,5,true,1,"[""stimuli\\STATE\\USED\\Sdoughhands2.jpg"",""stimuli\\STATE\\USED\\Sdoughhands1.jpg""]",stimuli\STATE\USED\Sdoughhands1.jpg,stimuli\STATE\USED\Sdoughhands1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,361,7,494485,Test,exemplar,1,1148,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Etrophy1.jpg"",""stimuli\\EXEMPLAR\\USED\\Etrophy2.jpg""]",stimuli\EXEMPLAR\USED\Etrophy2.jpg,stimuli\EXEMPLAR\USED\Etrophy2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,363,8,497227,Test,exemplar,1,1200,4,true,1,"[""stimuli\\EXEMPLAR\\USED\\Esantahat2.jpg"",""stimuli\\EXEMPLAR\\USED\\Esantahat1.jpg""]",stimuli\EXEMPLAR\USED\Esantahat1.jpg,stimuli\EXEMPLAR\USED\Esantahat1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,365,9,502862,Test,state,1,3966,2,true,1,"[""stimuli\\STATE\\USED\\Sbabytoy1.JPG"",""stimuli\\STATE\\USED\\Sbabytoy2.JPG""]",stimuli\STATE\USED\Sbabytoy2.JPG,stimuli\STATE\USED\Sbabytoy2.JPG,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,367,10,505941,Test,state,0,1260,5,true,1,"[""stimuli\\STATE\\USED\\Sgrinder2.jpg"",""stimuli\\STATE\\USED\\Sgrinder1.jpg""]",stimuli\STATE\USED\Sgrinder2.jpg,stimuli\STATE\USED\Sgrinder2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,369,11,509275,Test,exemplar,0,1758,2,true,1,"[""stimuli\\EXEMPLAR\\USED\\Egame2.jpg"",""stimuli\\EXEMPLAR\\USED\\Egame1.jpg""]",stimuli\EXEMPLAR\USED\Egame2.jpg,stimuli\EXEMPLAR\USED\Egame2.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,371,12,516062,Test,exemplar,1,5149,2,false,0,"[""stimuli\\EXEMPLAR\\USED\\Etoyhand2.jpg"",""stimuli\\EXEMPLAR\\USED\\Etoyhand1.jpg""]",stimuli\EXEMPLAR\USED\Etoyhand2.jpg,stimuli\EXEMPLAR\USED\Etoyhand1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,373,13,519697,Test,state,1,1922,3,true,1,"[""stimuli\\STATE\\USED\\Spie2.JPG"",""stimuli\\STATE\\USED\\Spie1.JPG""]",stimuli\STATE\USED\Spie1.JPG,stimuli\STATE\USED\Spie1.JPG,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,375,14,523128,Test,exemplar,1,1417,1,true,1,"[""stimuli\\EXEMPLAR\\USED\\Eguitar2.jpg"",""stimuli\\EXEMPLAR\\USED\\Eguitar1.jpg""]",stimuli\EXEMPLAR\USED\Eguitar1.jpg,stimuli\EXEMPLAR\USED\Eguitar1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,377,15,525498,Test,state,1,886,5,true,1,"[""stimuli\\STATE\\USED\\Spolarbear2.jpg"",""stimuli\\STATE\\USED\\Spolarbear1.jpg""]",stimuli\STATE\USED\Spolarbear1.jpg,stimuli\STATE\USED\Spolarbear1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,379,16,529499,Test,state,0,2246,2,true,1,"[""stimuli\\STATE\\USED\\Sdishes2.JPG"",""stimuli\\STATE\\USED\\Sdishes1.JPG""]",stimuli\STATE\USED\Sdishes2.JPG,stimuli\STATE\USED\Sdishes2.JPG,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,381,17,533150,Test,exemplar,1,1236,4,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ekayak2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ekayak1.jpg""]",stimuli\EXEMPLAR\USED\Ekayak1.jpg,stimuli\EXEMPLAR\USED\Ekayak1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
camel,p3zegmnxubt,0.00666666666666671,0.9,383,18,535603,Test,state,0,1003,5,true,1,"[""stimuli\\STATE\\USED\\Sseats1.jpg"",""stimuli\\STATE\\USED\\Sseats2.jpg""]",stimuli\STATE\USED\Sseats1.jpg,stimuli\STATE\USED\Sseats1.jpg,I think items you saw repeated you would probably say you have a better recollection for.,"Certain positions, certain facets pop out (i.e. a color, pointed lines or shapes).",No.
